well_id,well_name,latitude,longitude,well_type,well_status,well_result,field_name,field_code,field_operator,field_result,block_name,block_area_sqkm
LEW-04,LEW-04,53.11268412,6.07822921,Hydrocarbon evaluation,Abandoned,Gas shows,,,,,,
LEW-05,LEW-05,53.17147413,5.78406353,Hydrocarbon exploration,Abandoned,Dry,,,,,,
LEW-06,LEW-06,53.13472391,5.87093627,Hydrocarbon evaluation,Abandoned,Dry,,,,,,
SCH-504,SCH-504,52.65170924,6.91710368,Hydrocarbon development,Abandoned,Oil,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
SCH-505,SCH-505,52.65672738,6.93495679,Hydrocarbon development,Suspended,Oil,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
SCH-506,SCH-506,52.65897414,6.86288498,Hydrocarbon development,Abandoned,Oil,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
SCH-506,SCH-506,52.65897414,6.86288498,Hydrocarbon development,Abandoned,Oil,Schoonebeek Gas,SCHG,Nederlandse Aardolie Maatschappij B.V.,Gas,,
SCH-507,SCH-507,52.65733496,6.89183102,Hydrocarbon development,Abandoned,Oil,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
SCH-507,SCH-507,52.65733496,6.89183102,Hydrocarbon development,Abandoned,Oil,Schoonebeek Gas,SCHG,Nederlandse Aardolie Maatschappij B.V.,Gas,,
SCH-508,SCH-508,52.65726309,6.89182856,Hydrocarbon development,Abandoned,Oil,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
SCH-508,SCH-508,52.65726309,6.89182856,Hydrocarbon development,Abandoned,Oil,Schoonebeek Gas,SCHG,Nederlandse Aardolie Maatschappij B.V.,Gas,,
SCH-509,SCH-509,52.65718478,6.95560791,Hydrocarbon development,Abandoned,Oil,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
SCH-510,SCH-510,52.65724806,6.95558061,Hydrocarbon development,Abandoned,Oil,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
SCH-511,SCH-511,52.67010857,6.91219958,Hydrocarbon development,Abandoned,Oil,,,,,,
SCH-512-S1,SCH-512-S1,52.67015406,6.9121568,Hydrocarbon development by injection,Abandoned,Oil,,,,,,
SCH-513,SCH-513,52.65351162,6.93824303,Hydrocarbon development,Abandoned,Oil,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
SCH-514,SCH-514,52.65613057,6.92275612,Hydrocarbon development,Abandoned,Oil,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
SCH-515,SCH-515,52.65176714,6.94928105,Hydrocarbon development,Abandoned,Oil,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
SCH-516,SCH-516,52.6479678,6.92285529,Hydrocarbon development,Abandoned,Oil,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
SCH-517,SCH-517,52.64790834,6.9225872,Hydrocarbon development,Abandoned,Oil,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
SCH-518,SCH-518,52.64793415,6.92267677,Hydrocarbon development,Abandoned,Oil,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
SCH-519,SCH-519,52.66841826,6.92884735,Hydrocarbon development by injection,Suspended,Oil,,,,,,
SCH-520,SCH-520,52.66844577,6.92892313,Hydrocarbon development,Abandoned,Oil,,,,,,
SCH-521,SCH-521,52.66847177,6.92899797,Hydrocarbon development,Abandoned,Oil,,,,,,
SCH-522,SCH-522,52.66841826,6.92884735,Hydrocarbon development by injection,Suspended,Water,,,,,,
SCH-523,SCH-523,52.65973934,6.96971283,Hydrocarbon development by injection,Suspended,Water,,,,,,
SCH-524,SCH-524,52.65971318,6.96965276,Hydrocarbon development by injection,Suspended,Water,,,,,,
SCH-525,SCH-525,52.65321259,6.92597973,Hydrocarbon development by injection,Abandoned,Water,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
SCH-526,SCH-526,52.65326707,6.9259373,Hydrocarbon development,Abandoned,Oil,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
SCH-527,SCH-527,52.65609244,6.9166502,Hydrocarbon development,Abandoned,Oil,Schoonebeek Olie,SCHO,Nederlandse Aardolie Maatschappij B.V.,Olie,,
COV-07,COV-07,52.65757482,6.78527104,Hydrocarbon exploration,Abandoned,Dry,Coevorden,COV,Nederlandse Aardolie Maatschappij B.V.,Gas,,
COV-07-S3,COV-07-S3,52.65757482,6.78527104,Hydrocarbon exploration,Abandoned,Gas,Coevorden,COV,Nederlandse Aardolie Maatschappij B.V.,Gas,,
COV-08,COV-08,52.66459554,6.79958578,Hydrocarbon evaluation,Abandoned,Technical failure,Coevorden,COV,Nederlandse Aardolie Maatschappij B.V.,Gas,,
COV-08-S1,COV-08-S1,52.66459554,6.79958578,Hydrocarbon evaluation,Abandoned,Technical failure,Coevorden,COV,Nederlandse Aardolie Maatschappij B.V.,Gas,,
COV-09,COV-09,52.66459052,6.79976583,Hydrocarbon evaluation,Suspended,Gas,Coevorden,COV,Nederlandse Aardolie Maatschappij B.V.,Gas,,
COV-10,COV-10,52.63808986,6.60568363,Hydrocarbon evaluation,Plugged back and sidetracked,Gas,Coevorden,COV,Nederlandse Aardolie Maatschappij B.V.,Gas,,
COV-10-S1,COV-10-S1,52.63808986,6.60568363,Hydrocarbon development,Closed-in,Gas,Coevorden,COV,Nederlandse Aardolie Maatschappij B.V.,Gas,,
COV-11-S1,COV-11-S1,52.65020222,6.64897788,Hydrocarbon evaluation,Producing/Injecting,Gas,Coevorden,COV,Nederlandse Aardolie Maatschappij B.V.,Gas,,
ANJ-04-S2,ANJ-04-S2,53.3706601,6.14926936,Hydrocarbon development,Closed-in,Gas,Anjum,ANJ,Nederlandse Aardolie Maatschappij B.V.,Gas,,
BUMA-01-S1,BUMA-01-S1,52.73096678,6.86650163,Hydrocarbon exploration,Abandoned,Gas,Buma,BUMA,Nederlandse Aardolie Maatschappij B.V.,Gas,,
RTD-15,RTD-15,51.88075838,4.45644177,Hydrocarbon development,Producing/Injecting,Oil,Rotterdam,RTD,Nederlandse Aardolie Maatschappij B.V.,Olie,,
RTD-15-S1,RTD-15-S1,51.88075838,4.45644177,Hydrocarbon development,Producing/Injecting,Oil,Rotterdam,RTD,Nederlandse Aardolie Maatschappij B.V.,Olie,,
PRW-05,PRW-05,51.89081259,4.36863179,Hydrocarbon development,Producing/Injecting,Oil and gas,Pernis-West,PRW,Nederlandse Aardolie Maatschappij B.V.,Gas,,
ZSRM-01,ZSRM-01,52.55746205,4.78779675,Hydrocarbon exploration,Closed-in,Gas,Zuid-Schermer,ZSRM,TAQA Offshore B.V.,Gas,,
TWR-429,TWR-429,52.23838339,6.82426844,Salt mining development,Closed-in,Salt,,,,,,
DRN-01,DRN-01,52.29460695,6.87145692,Hydrocarbon exploration,Abandoned,Gas,Deurningen,DRN,Nederlandse Aardolie Maatschappij B.V.,Gas,,
BRTZ-03,BRTZ-03,51.84260409,4.55332786,Hydrocarbon development,Suspended,Gas,Barendrecht-Ziedewij,BRTZ,Nederlandse Aardolie Maatschappij B.V.,Gas,,
MKZ-04-S1,MKZ-04-S1,53.32575299,6.28270708,Hydrocarbon development,Producing/Injecting,Gas,,,,,,
HBG-08,HBG-08,52.61014423,6.61881879,Hydrocarbon development,Producing/Injecting,Gas,Hardenberg,HBG,Nederlandse Aardolie Maatschappij B.V.,Gas,,
SUW-03,SUW-03,53.17788521,5.97763448,Hydrocarbon evaluation,Suspended,Gas,Suawoude,SUW,Vermilion Energy Netherlands B.V.,Gas,,
RTD-18,RTD-18,51.88078041,4.45645439,Hydrocarbon development,Plugged back and sidetracked,Technical failure,Rotterdam,RTD,Nederlandse Aardolie Maatschappij B.V.,Olie,,
RTD-18-S2,RTD-18-S2,51.88078041,4.45645439,Hydrocarbon development,Producing/Injecting,Oil,Rotterdam,RTD,Nederlandse Aardolie Maatschappij B.V.,Olie,,
RTD-18-S1,RTD-18-S1,51.88078041,4.45645439,Hydrocarbon development,Suspended,Technical failure,Rotterdam,RTD,Nederlandse Aardolie Maatschappij B.V.,Olie,,
EGMB-01,EGMB-01,52.59207604,4.66302757,Hydrocarbon exploration,Suspended,Gas,,,,,,
KMP-02,KMP-02,53.31281917,6.17221933,Hydrocarbon exploration,Suspended,Dry,Kollum-Noord,KLMN,Nederlandse Aardolie Maatschappij B.V.,Gas,,
KWR-01-S1,KWR-01-S1,53.13156518,6.77376753,Hydrocarbon exploration,Suspended,Gas,,,,,,
WTS-01,WTS-01,53.09216535,5.47679791,Hydrocarbon exploration,Abandoned,Gas,,,,,,
OSH-06-S1,OSH-06-S1,52.74914731,6.76524307,Hydrocarbon evaluation,Suspended,Gas,Oosterhesselen,OSH,Nederlandse Aardolie Maatschappij B.V.,Gas,,
AWG-108,AWG-108,53.49196606,5.94049764,Hydrocarbon evaluation,Plugged back and sidetracked,Gas,Ameland-Westgat,AWG,Nederlandse Aardolie Maatschappij B.V.,Gas,,
AWG-108-S1,AWG-108-S1,53.49196606,5.94049764,Hydrocarbon development,Closed-in,Gas,Ameland-Westgat,AWG,Nederlandse Aardolie Maatschappij B.V.,Gas,,
BLF-106,BLF-106,53.36110126,5.8502382,Hydrocarbon exploration,Plugged back and sidetracked,Gas,Blija-Ferwerderadeel,BLF,Nederlandse Aardolie Maatschappij B.V.,Gas,,
