well_id,well_name,latitude,longitude,coordinate_system,well_type,status,result,trajectory,operator,drilling_contractor,platform,start_date,end_date,end_depth_m,end_depth_unit,vertical_depth_m,true_vertical_depth_m,deviation_m,max_deviation_m,field_name,field_code,field_operator,field_result,field_status,block_name,block_area_sqkm,in_field,in_block,field_count,block_count
LRM-01,LRM-01,53.35006018,6.81229145,RD,Hydrocarbon evaluation,Suspended,Gas,Deviated,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,U 914 C,1974-10-24,1974-11-25,3112.01,Rotary Table,3006.59,2998.88,-263.66,-414.63,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
LRM-02,LRM-02,53.35032269,6.8132457,RD,Hydrocarbon development,Suspended,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,U 914 C,1974-11-26,1974-12-22,3016,Rotary Table,3014.88,3007.17,-32.88,40.68,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
LRM-03,LRM-03,53.35058545,6.81420058,RD,Hydrocarbon development,Plugged,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Flexodrill / U 914 C,1974-10-01,1975-01-29,2950,Rotary Table,2949.02,2941.31,0.41,38.21,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
LRM-04,LRM-04,53.35084811,6.81515531,RD,Hydrocarbon development,Plugged,Gas,Deviated,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Flexodrill / U 914 C,1974-11-23,1975-02-16,2950,Rotary Table,2943.77,2935.96,45.76,113.88,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
LRM-05,LRM-05,53.35111085,6.81611021,RD,Hydrocarbon development,Plugged,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Flexodrill / U 914 C,1975-01-30,1975-03-11,2950,Rotary Table,2948.39,2940.69,5.28,66.14,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
LRM-06,LRM-06,53.35137332,6.81706436,RD,Hydrocarbon development,Suspended,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Flexodrill / U 914 C,1975-02-09,1975-04-02,2950,Rotary Table,2948.07,2940.44,-28.83,52.22,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
LRM-07,LRM-07,53.35080196,6.81750345,RD,Hydrocarbon development,Suspended,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Flexodrill / U 914 C,1975-02-26,1975-04-23,3023,Rotary Table,3021.88,3014.23,35.19,42.88,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
LRM-08,LRM-08,53.35053949,6.81654931,RD,Hydrocarbon development,Plugged,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Flexodrill / U 914 C,1975-03-14,1975-05-13,2950,Rotary Table,2949.02,2941.43,0.6,43.05,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
LRM-09,LRM-09,53.35027675,6.81559442,RD,Hydrocarbon development,Suspended,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Flexodrill / U 914 C,1975-04-02,1975-06-04,2950,Rotary Table,2949.2,2941.51,1.9,41.84,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
LRM-10,LRM-10,53.35001409,6.8146397,RD,Hydrocarbon development,Plugged,Gas,Vertical,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Flexodrill / U 914 C,1975-04-24,1975-06-27,2950,Rotary Table,2948.79,2941.18,-23.57,-8.59,Groningen,GRO,Nederlandse Aardolie Maatschappij B.V.,Gas,Depleted,,,Yes,No,1,0
